"SAIHAMTEX","Saiham Textile Mills Ltd."
"SALAMCRST","S. Alam Cold Rolled Steels Ltd."
"SALVOCHEM","Salvo Chemical Industry Limited"
"SAMATALETH","Samata Leather Complex Ltd."
"SAMORITA","Samorita Hospital Limited"
"SANDHANINS","Sandhani Life Insurance Company Ltd."
"SAPORTL","Summit Alliance Port Limited"
"SAVAREFR","Savar Refractories Limited"
"SEBL1STMF","Southeast Bank 1st Mutual Fund"
"SEMLIBBLSF","SEML IBBL Shariah Fund"
"SEMLLECMF","SEML Lecture Equity Management Fund"
"SHAHJABANK","Shahjalal Islami Bank Ltd."
"SHASHADNIM","Shasha Denims Limited"
"SHEPHERD","Shepherd Industries Limited"
"SHURWID","Shurwid Industries Limited"
"SHYAMPSUG","Shyampur Sugar Mills Ltd."
"SIBL","Social Islami Bank Limited"
"SIMTEX","Simtex Industries Limited"
"SINGERBD","Singer Bangladesh Limited"
"SINOBANGLA","Sinobangla Industries Ltd."
"SONALIANSH","Sonali Aansh Industries Limited"
"SONARBAINS","Sonar Bangla Insurance Ltd."
"SONARGAON","Sonargaon Textiles Ltd."
"SOUTHEASTB","Southeast Bank Ltd."
"SPCERAMICS","Shinepukur Ceramics Limited"
"SPCL","Shahjibazar Power Co. Ltd."
"SQUARETEXT","Square Textile Ltd."
"SQURPHARMA","Square Pharmaceuticals Ltd."
"STANCERAM","Standard Ceramic Industries Ltd."
"STANDARINS","Standard Insurance Limited"
"STANDBANKL","Standard Bank Limited"
"STYLECRAFT","Stylecraft Limited"
"SUMITPOWER","Summit Power Limited"
"SUNLIFEINS","Sunlife Insurance Company Limited"
"TAKAFULINS","Takaful Islami Insurance Limited"
"TALLUSPIN","Tallu Spinning Mills Ltd."
"TITASGAS","Titas Gas Transmission & Dist. Co. Ltd."
"TOSRIFA","Tosrifa Industries Limited"
"TRUSTB1MF","Trust Bank 1st Mutual Fund"
"TRUSTBANK","Trust Bank Limited"
"TUNGHAI","Tung Hai Knitting & Dyeing Limited"
"UCB","United Commercial Bank Ltd."
"UNIONCAP","Union Capital Limited"
"UNIQUEHRL","Unique Hotel & Resorts Limited"
"UNITEDAIR","United Airways (BD) Ltd."
"UNITEDFIN","United Finance Limited"
"UNITEDINS","United Insurance Ltd."
"UPGDCL","United Power Generation & Distribution Company Ltd."
"USMANIAGL","Usmania Glass Sheet Factory Limited"
"UTTARABANK","Uttara Bank Limited"
"UTTARAFIN","Uttara Finance and Investments Limited"
"VAMLBDMF1","Vanguard AML BD Finance Mutual Fund One"
"VAMLRBBF","Vanguard AML Rupali Bank Balanced Fund"
"WATACHEM","Wata Chemicals Limited"
"WMSHIPYARD","Western Marine Shipyard Limited"
"YPL","Yeakin Polymer Limited"
"ZAHEENSPIN","Zaheen Spinning Limited"
"ZAHINTEX","Zahintex Industries Limited"
"ZEALBANGLA","Zeal Bangla Sugar Mills Ltd."
"1JANATAMF","First Janata Bank Mutual Fund"
"1STPRIMFMF","Prime Finance First Mutual Fund"
"1","0","6.2","May 30, 2018 at 2:45 PM","6.2","6.1","6.2","26","0.493","79,965","6.2","1JANATAMF"
"2","0.1","12.6","May 30, 2018 at 2:45 PM","12.8","12.5","12.6","44","0.46","36,481","12.5","1STPRIMFMF"
"3","5","90","May 30, 2018 at 2:45 PM","91.3","86.4","90.6","1,712","67.115","757,922","85.6","AAMRANET"
"4","0.1","28.8","May 30, 2018 at 2:45 PM","29.2","28.5","28.8","113","3.624","125,748","28.7","AAMRATECH"
"5","0.1","5.9","May 30, 2018 at 2:45 PM","6","5.9","6","8","0.605","102,500","5.9","ABB1STMF"
"6","0.1","12.6","May 30, 2018 at 2:45 PM","12.8","12.5","12.7","186","6.196","491,391","12.6","ABBANK"
"7","-5.8","342.1","May 30, 2018 at 2:45 PM","347","339.9","341.2","802","25.244","73,672","347","ACI"
"8","2","167","May 30, 2018 at 2:45 PM","170","165","165.1","81","1.506","9,019","163.1","ACIFORMULA"
"9","1.1","96.6","May 30, 2018 at 2:45 PM","98","96.1","97.6","157","4.423","45,546","96.5","ACMELAB"
"10","0","29.7","May 30, 2018 at 2:45 PM","30","29.7","29.7","162","4.988","166,891","29.7","ACTIVEFINE"
"11","-2.8","42","May 30, 2018 at 2:45 PM","44.6","41.5","41.5","2,730","74.058","1,714,780","44.3","ADVENT"
"12","0.3","36.6","May 30, 2018 at 2:45 PM","37.9","36.5","37","194","3.579","97,108","36.7","AFCAGRO"
"13","0.7","51.8","May 30, 2018 at 2:45 PM","52.6","51.4","52.6","107","2.645","50,844","51.9","AFTABAUTO"
"14","0.1","20","May 30, 2018 at 2:45 PM","20.3","19.9","20","208","6.364","317,107","19.9","AGNISYSL"
"15","0","16.1","May 30, 2018 at 2:45 PM","16.4","16","16.4","12","0.102","6,361","16.4","AGRANINS"
"16","0.1","8.7","May 30, 2018 at 2:45 PM","8.7","8.5","8.7","42","1.929","223,247","8.6","AIBL1STIMF"
"17","9.3","102.8","May 30, 2018 at 2:45 PM","102.8","95","102.8","1,697","256.153","2,494,383","93.5","AIL"
"18","4.4","76.2","May 30, 2018 at 2:45 PM","77.5","72.3","76.4","480","9.797","129,500","72","AL-HAJTEX"
"19","-0.6","23.9","May 30, 2018 at 2:45 PM","24","23.5","23.6","142","20.543","861,439","24.2","ALARABANK"
"20","0.3","12.3","May 30, 2018 at 2:45 PM","12.7","12","12.2","1,851","96.283","7,740,075","11.9","ALIF"
"21","0","9.9","May 30, 2018 at 2:45 PM","10","9.9","9.9","36","0.602","60,652","9.9","ALLTEX"
"22","2.3","52.3","May 30, 2018 at 2:45 PM","53.2","50.6","53","710","17.605","337,911","50.7","AMANFEED"
"23","-15.8","467.9","May 30, 2018 at 2:45 PM","494.9","465.1","465.1","833","19.193","40,178","480.9","AMBEEPHA"
"24","-1.2","212","May 30, 2018 at 2:45 PM","217","211.5","211.6","50","0.676","3,179","212.8","AMCL(PRAN)"
"25","-0.7","31","May 30, 2018 at 2:45 PM","32","30.9","30.9","253","4.596","147,297","31.6","ANLIMAYARN"
"26","-0.7","70.2","May 30, 2018 at 2:45 PM","71.6","70","70","322","5.408","76,417","70.7","ANWARGALV"
"27","0.9","231.4","May 30, 2018 at 2:45 PM","234.7","230","230","293","5.53","23,804","229.1","APEXFOODS"
"28","4.9","297.4","May 30, 2018 at 2:45 PM","299","294.3","298.6","101","3.235","10,944","293.7","APEXFOOT"
"29","-2.5","114.2","May 30, 2018 at 2:45 PM","117.2","113.9","113.9","98","1.366","11,849","116.4","APEXSPINN"
"30","0","135.5","May 30, 2018 at 2:45 PM","136.9","135.2","135.3","69","1.274","9,400","135.3","APEXTANRY"
"31","-0.2","12.9","May 30, 2018 at 2:45 PM","13.2","12.9","12.9","269","5.904","453,125","13.1","APOLOISPAT"
"32","0.2","332.7","May 30, 2018 at 2:45 PM","335.9","330.9","331","38","0.324","975","330.8","ARAMIT"
"33","0.2","23.1","May 30, 2018 at 2:45 PM","23.6","22.8","23","8","0.092","4,002","22.8","ARAMITCEM"
"34","-0.3","26.7","May 30, 2018 at 2:45 PM","27.3","26.6","26.6","173","5.213","194,078","26.9","ARGONDENIM"
"35","-0.3","16","May 30, 2018 at 2:45 PM","16","16","16","1","0.002","100","16.3","ASIAINS"
"36","-1.3","23.9","May 30, 2018 at 2:45 PM","24.2","23.1","24.2","10","0.036","1,500","25.5","ASIAPACINS"
"37","0","10.8","May 30, 2018 at 2:45 PM","10.9","10.7","10.8","56","1.691","156,714","10.8","ATCSLGF"
"38","-1.5","129.6","May 30, 2018 at 2:45 PM","133.8","128.2","128.4","148","2.458","18,758","129.9","ATLASBANG"
"39","1.7","133.1","May 30, 2018 at 2:45 PM","135.8","132","132.6","288","3.896","29,013","130.9","AZIZPIPES"
"40","-5.4","226.8","May 30, 2018 at 2:45 PM","236.3","222","228","54","0.692","3,063","233.4","BANGAS"
"41","0.1","16.7","May 30, 2018 at 2:45 PM","17.2","16.2","16.4","227","16.352","985,796","16.3","BANKASIA"
"42","0.2","28.3","May 30, 2018 at 2:45 PM","28.8","28.3","28.3","107","3.536","124,465","28.1","BARKAPOWER"
"43","0","1,137.6","May 30, 2018 at 2:45 PM","1,140","1,130","1,140","29","2.62","2,305","1,140","BATASHOE"
"44","27.4","3,399.2","May 30, 2018 at 2:45 PM","3,419.4","3,343","3,419.4","15","1.788","526","3,392","BATBC"
"45","-0.5","21.2","May 30, 2018 at 2:45 PM","21.8","21.1","21.3","62","0.901","42,117","21.8","BAYLEASING"
"46","0.2","29.5","May 30, 2018 at 2:45 PM","30","29.4","29.5","276","10.57","355,289","29.3","BBS"
"47","-0.6","75.3","May 30, 2018 at 2:45 PM","77.5","75","75.4","1,230","44.638","586,643","76","BBSCABLES"
"48","0.3","113.9","May 30, 2018 at 2:45 PM","116.9","112.5","114","393","6.145","53,412","113.7","BDAUTOCA"
"49","0.1","27.7","May 30, 2018 at 2:45 PM","28.2","27","27.6","391","15.194","551,195","27.5","BDCOM"
"50","0.1","16","May 30, 2018 at 2:45 PM","16.5","15.6","16.2","366","11.086","683,757","16.1","BDFINANCE"
"51","-1.6","169","May 30, 2018 at 2:45 PM","171.9","168.6","168.6","165","1.793","10,563","170.2","BDLAMPS"
"52","--","5.5","May 30, 2018 at 2:45 PM","0","0","0","0","0","0","5.5","BDSERVICE"
"53","0.1","24.6","May 30, 2018 at 2:45 PM","25.1","24.5","24.6","680","29.453","1,191,831","24.5","BDTHAI"
"54","0.3","17.3","May 30, 2018 at 2:45 PM","17.5","16.8","17.4","121","1.04","60,301","17.1","BDWELDING"
"55","1.1","13.7","May 30, 2018 at 2:45 PM","13.8","13","13.8","86","1.095","79,920","12.7","BEACHHATCH"
"56","0","18.8","May 30, 2018 at 2:45 PM","19","18.7","18.8","80","1.812","96,354","18.8","BEACONPHAR"
"57","-0.6","29.9","May 30, 2018 at 2:45 PM","30.5","29.9","29.9","61","0.612","20,349","30.5","BENGALWTL"
"58","18.9","2,532.5","May 30, 2018 at 2:45 PM","2,559","2,506","2,530","2,320","120.421","47,581","2,511.1","BERGERPBL"
"59","-0.1","28.2","May 30, 2018 at 2:45 PM","29.4","27.8","28","4,417","274.154","9,558,373","28.1","BEXIMCO"
"60","-0.5","19.1","May 30, 2018 at 2:45 PM","19.2","18.9","19","29","0.309","16,196","19.5","BGIC"
"61","0","6.6","May 30, 2018 at 2:45 PM","6.8","6.5","6.7","38","0.148","22,328","6.7","BIFC"
"62","0.2","14.4","May 30, 2018 at 2:45 PM","14.4","14.1","14.4","21","0.276","19,233","14.2","BNICL"
"63","0.4","77.8","May 30, 2018 at 2:45 PM","78.6","76.7","77.6","669","43.52","560,763","77.2","BRACBANK"
"64","-0.2","40.3","May 30, 2018 at 2:45 PM","41","40.2","40.3","358","6.506","160,543","40.5","BSC"
"65","1.3","86.4","May 30, 2018 at 2:45 PM","86.9","85.6","86.9","69","0.785","9,109","85.6","BSCCL"
"66","-0.7","105.7","May 30, 2018 at 2:45 PM","109.7","104.9","105.7","1,725","105.662","986,759","106.4","BSRMLTD"
"67","-0.9","71.1","May 30, 2018 at 2:45 PM","72.5","70.5","70.9","154","3.689","51,587","71.8","BSRMSTEEL"
